table,field,data_type_in_csv,description
TABLE3_MONTHLY_QC,is_valid_month,int64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,l3_grid_spacing_m,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,metadata_selected_source_element_count,int64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,month,object,"Calendar month identifier or month label, depending on table."
TABLE3_MONTHLY_QC,month_of_year,int64,Calendar month number (1-12).
TABLE3_MONTHLY_QC,pollutant,object,"Atmospheric indicator code (NO2, CO, or SO2)."
TABLE3_MONTHLY_QC,processing_branch,object,Pollutant-specific processing branch identifier.
TABLE3_MONTHLY_QC,quality_description,object,Quality-control field generated by the workflow.
TABLE3_MONTHLY_QC,reduction_crs,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,source_band,object,Analyzed source band.
TABLE3_MONTHLY_QC,source_collection,object,Google Earth Engine Sentinel-5P source collection.
TABLE3_MONTHLY_QC,source_element_count,int64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,source_selection_mode,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,support_count_max,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,support_count_mean,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,support_count_median,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,support_count_min,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,support_count_p10,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,support_count_p90,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,system_time_start,int64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,temporal_support_description,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,temporal_support_fraction_mean,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,temporal_support_mode,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,total_aoi_area_km2,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,total_aoi_area_m2,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,valid_area_fraction,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,valid_area_km2,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,valid_area_m2,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,valid_area_percent,float64,Percentage of AOI represented by valid final raster pixels.
TABLE3_MONTHLY_QC,year,int64,Calendar year.
TABLE3_MONTHLY_QC,.geo,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE4_SEASONAL_ANNUAL_SUMMARY,system:index,int64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE4_SEASONAL_ANNUAL_SUMMARY,aoi_id,object,Stable identifier for the study area.
TABLE4_SEASONAL_ANNUAL_SUMMARY,expected_month_count,int64,Expected number of months in the summarized period.
TABLE4_SEASONAL_ANNUAL_SUMMARY,max_valid_area_percent,float64,Percentage-valued field generated by the publication workflow.
TABLE4_SEASONAL_ANNUAL_SUMMARY,mean_valid_area_percent,float64,Percentage-valued field generated by the publication workflow.
TABLE4_SEASONAL_ANNUAL_SUMMARY,min_valid_area_percent,float64,Percentage-valued field generated by the publication workflow.
TABLE4_SEASONAL_ANNUAL_SUMMARY,missing_or_invalid_month_count,int64,Count-valued field generated by the publication workflow.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_cv_percent,float64,Percentage-valued field generated by the publication workflow.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_label,object,Human-readable temporal period label.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_max_monthly_AOI_mean_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_mean_of_monthly_AOI_means_mol_m2,float64,"Mean of monthly AOI means within the summarized period, mol m^-2."
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_median_of_monthly_AOI_means_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_min_monthly_AOI_mean_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_p90_of_monthly_AOI_means_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_stddev_of_monthly_AOI_means_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE4_SEASONAL_ANNUAL_SUMMARY,period_type,object,"Type of temporal summary (e.g., ANNUAL or SEASON)."
TABLE4_SEASONAL_ANNUAL_SUMMARY,pollutant,object,"Atmospheric indicator code (NO2, CO, or SO2)."
TABLE4_SEASONAL_ANNUAL_SUMMARY,source_month_count,int64,Count-valued field generated by the publication workflow.
TABLE4_SEASONAL_ANNUAL_SUMMARY,summary_basis,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE4_SEASONAL_ANNUAL_SUMMARY,temporal_completeness_fraction,float64,Valid-month count divided by expected-month count.
TABLE4_SEASONAL_ANNUAL_SUMMARY,temporal_completeness_percent,float64,Temporal completeness expressed as percent.
TABLE4_SEASONAL_ANNUAL_SUMMARY,valid_month_count,int64,Number of valid months in the summarized period.
TABLE4_SEASONAL_ANNUAL_SUMMARY,year,int64,Calendar year.
TABLE4_SEASONAL_ANNUAL_SUMMARY,.geo,object,Workflow output field; see manuscript Methods and source code for derivation.
