system:index,aoi_id,expected_month_count,max_valid_area_percent,mean_valid_area_percent,min_valid_area_percent,missing_or_invalid_month_count,period_cv_percent,period_label,period_max_monthly_AOI_mean_mol_m2,period_mean_of_monthly_AOI_means_mol_m2,period_median_of_monthly_AOI_means_mol_m2,period_min_monthly_AOI_mean_mol_m2,period_p90_of_monthly_AOI_means_mol_m2,period_stddev_of_monthly_AOI_means_mol_m2,period_type,pollutant,source_month_count,summary_basis,temporal_completeness_fraction,temporal_completeness_percent,valid_month_count,year,.geo
10,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,3.80724482221394,SON,6.146308658445084E-5,5.868514201494919E-5,5.860013513633604E-5,5.599220432406067E-5,6.146308658445084E-5,2.2342870307730502E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,AOI_KRYVYI_RIH,12,100.0,99.03472796497603,88.41673557971241,0,23.84588214649709,ANNUAL,6.146308658445084E-5,4.440629083593046E-5,4.451663570664553E-5,2.5780423363541558E-5,5.860013513633604E-5,1.0589071778366714E-5,ANNUAL,NO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,16.989154864374704,MAM,3.391444515068645E-5,2.739121424510662E-5,2.4883712298079147E-5,2.3375485286554254E-5,3.391444515068645E-5,4.653535807333828E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,8.567744854423747,JJA,3.3709776825074135E-5,3.0213886910133823E-5,2.940706826399791E-5,2.7524815641329413E-5,3.3709776825074135E-5,2.588648741064401E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,30.928789164641657,SON,5.117244038492563E-5,3.599070392187189E-5,3.2005557162583325E-5,2.4794114218106697E-5,5.117244038492563E-5,1.1131488934866172E-5,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,29.78667749167033,ANNUAL,5.4061709546966744E-5,3.454430730980759E-5,3.1442456232944966E-5,2.3375485286554254E-5,5.117244038492563E-5,1.0289601410103885E-5,ANNUAL,NO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,2.704060110947515,MAM,3.408857824082976E-5,3.283963834214584E-5,3.232891079299589E-5,3.210142599261186E-5,3.408857824082976E-5,8.880035609893915E-7,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,15.900642522446013,JJA,3.423961006166205E-5,2.7988746966654018E-5,2.5498923542821576E-5,2.4227707295478425E-5,3.423961006166205E-5,4.4503906016796074E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,3.682964091166807,SON,3.500031904577021E-5,3.3467471858323265E-5,3.3419880767954426E-5,3.198221576124515E-5,3.500031904577021E-5,1.2325949707634022E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,14.50577111353833,ANNUAL,4.2376909940156395E-5,3.3405439320223066E-5,3.3754229504392096E-5,2.4227707295478425E-5,3.971324818100001E-5,4.845716567263492E-6,ANNUAL,NO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,11.194950413558507,MAM,4.255705026141574E-5,3.717547500652953E-5,3.654855630798831E-5,3.2420818450184536E-5,4.255705026141574E-5,4.161775992985817E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,2.911747122862162,JJA,3.3389605338615004E-5,3.2322358479305986E-5,3.247748024282755E-5,3.109998985647541E-5,3.3389605338615004E-5,9.41145343062386E-7,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,6.661956990401728,SON,4.054737927518976E-5,3.7178658002703575E-5,3.6325435033426446E-5,3.46631596994945E-5,4.054737927518976E-5,2.4768262057486626E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,13.704903960659518,ANNUAL,4.7575848911207474E-5,3.641672461218769E-5,3.549429736646047E-5,3.0132197516099625E-5,4.255705026141574E-5,4.99087713371818E-6,ANNUAL,NO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,4.6107416326961435,DJF,4.1268577761027936E-5,3.995512336212088E-5,4.1246942143446366E-5,3.7349850181888334E-5,4.1268577761027936E-5,1.8422275072524106E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,12.050855126013854,DJF,5.121228368523234E-5,4.696634538621969E-5,5.071958208483425E-5,3.896717038859246E-5,5.121228368523234E-5,5.659846240476627E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,AOI_KRYVYI_RIH,3,100.0,96.13891185990413,88.41673557971241,0,28.640520783331958,DJF,5.4061709546966744E-5,4.288178018219637E-5,4.880320763608083E-5,2.5780423363541558E-5,5.4061709546966744E-5,1.2281565165344677E-5,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,10.19112657039686,DJF,3.971324818100001E-5,3.54933819014859E-5,3.5887542220151066E-5,3.0879355303306606E-5,3.971324818100001E-5,3.6171754736947594E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,13.946709773926228,DJF,4.2376909940156395E-5,3.7257427303194624E-5,3.9263174453327855E-5,3.0132197516099625E-5,4.2376909940156395E-5,5.196185255208104E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,73.93758223368141,MAM,6.429664782529535E-4,3.2161119920197004E-4,2.4675498296978984E-4,7.511213638316669E-5,6.429664782529535E-4,2.3779154488268552E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,12.60903261726314,JJA,1.1229549757150506E-4,9.57996737805985E-5,9.139677731197201E-5,8.370674645831843E-5,1.1229549757150506E-4,1.207941211422735E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,1,9.998100573542693,SON,3.542997326460407E-4,3.220962278427369E-4,3.220962278427369E-4,2.898927230394331E-4,3.542997326460407E-4,3.220350480330405E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.6666666666666666,66.66666666666666,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,3,86.66645212395866,ANNUAL,8.915520586245134E-4,3.097752370286325E-4,2.4675498296978984E-4,7.511213638316669E-5,8.915520586245134E-4,2.6847120749129926E-4,ANNUAL,SO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.75,75.0,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,70.23243882821181,MAM,6.879884405366733E-4,3.480575775177512E-4,2.325757689977637E-4,1.236085230188166E-4,6.879884405366733E-4,2.444493252171105E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,25.517623272052205,JJA,1.238235178393833E-4,9.967004733791196E-5,1.1067460809407312E-4,6.451201608027946E-5,1.238235178393833E-4,2.5433427194764472E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,1,21.93308943898217,SON,3.7749218470246014E-4,3.0958961709189276E-4,3.0958961709189276E-4,2.4168704948132532E-4,3.7749218470246014E-4,6.790256761056727E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.6666666666666666,66.66666666666666,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,3,78.52383329453801,ANNUAL,7.171281023527446E-4,2.977211345670577E-4,2.325757689977637E-4,6.451201608027946E-5,7.171281023527446E-4,2.3378204739004358E-4,ANNUAL,SO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.75,75.0,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,56.214425000586665,MAM,3.6039930578169935E-4,2.0884497969910732E-4,1.917871359979123E-4,7.434849731771029E-5,3.6039930578169935E-4,1.1740100448044512E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,34.95269260637135,JJA,1.2343597972241873E-4,8.26049584798084E-5,6.244689727560163E-5,6.193199844140489E-5,1.2343597972241873E-4,2.8872657215068114E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,1,43.31532768708485,SON,7.135047603843227E-4,4.978565600060527E-4,4.978565600060527E-4,2.822083596277826E-4,7.135047603843227E-4,2.1564820037826995E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.6666666666666666,66.66666666666666,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,AOI_KRYVYI_RIH,12,100.0,99.56629601484383,96.09666413359452,3,104.8107351854991,ANNUAL,0.0011723290036591957,3.3804354868978317E-4,1.917871359979123E-4,6.193199844140489E-5,0.0011723290036591957,3.5430592862891234E-4,ANNUAL,SO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.75,75.0,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,61.11724127593606,MAM,6.492004146076853E-4,3.487879804482349E-4,2.204035230471686E-4,1.7676000368985076E-4,6.492004146076853E-4,2.1316959155201243E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,82.73848410376075,JJA,1.4420174935842538E-4,6.871866093813676E-5,5.497227018741975E-5,6.981963268565157E-6,1.4420174935842538E-4,5.6856778356617534E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,1,50.120165800507486,SON,5.993288235350236E-4,3.992327215595158E-4,3.992327215595158E-4,1.99136619584008E-4,5.993288235350236E-4,2.000961019755077E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.6666666666666666,66.66666666666666,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,3,138.57326457558037,ANNUAL,0.002259185049934588,4.789078241347483E-4,1.99136619584008E-4,6.981963268565157E-6,0.002259185049934588,6.636382062113999E-4,ANNUAL,SO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.75,75.0,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,102.89569312413053,MAM,7.009759641641433E-4,2.8551369223337597E-4,7.990323150415088E-5,7.566188103183365E-5,7.009759641641433E-4,2.937812925878291E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,67.88676114612464,JJA,7.710407318170604E-5,3.987076653621893E-5,2.8947754793117794E-5,1.3560471633832954E-5,7.710407318170604E-5,2.7066972045571935E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,1,48.54132987944038,SON,5.322935411089691E-4,3.583470954117558E-4,3.583470954117558E-4,1.8440064971454246E-4,5.322935411089691E-4,1.7394644569721337E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.6666666666666666,66.66666666666666,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,AOI_KRYVYI_RIH,12,100.0,99.97814916412254,99.80334247710296,3,115.69216227509568,ANNUAL,0.001084933056789164,3.086422915468289E-4,7.990323150415088E-5,1.3560471633832954E-5,0.001084933056789164,3.5707494078593123E-4,ANNUAL,SO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.75,75.0,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,73.95169093734657,MAM,0.0011860950004158742,5.798030747581514E-4,2.8551821231498234E-4,2.6779601154359767E-4,0.0011860950004158742,4.2877417789038063E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,60.049182158199955,JJA,1.0130761882405668E-4,6.5548177415015E-5,8.461295971256866E-5,1.0723953708419643E-5,1.0130761882405668E-4,3.936114445732244E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,1,60.725451453886315,SON,6.105755267996721E-4,3.798872681809527E-4,3.798872681809527E-4,1.4919900956223325E-4,6.105755267996721E-4,2.3068825861871935E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.6666666666666666,66.66666666666666,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,3,101.32308361166373,ANNUAL,0.0012077298588572415,4.337286835265162E-4,2.6779601154359767E-4,1.0723953708419643E-5,0.0012077298588572415,4.3946727665734035E-4,ANNUAL,SO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.75,75.0,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,2,0.0,DJF,7.171281023527446E-4,7.171281023527446E-4,7.171281023527446E-4,7.171281023527446E-4,7.171281023527446E-4,0.0,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.3333333333333333,33.33333333333333,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,AOI_KRYVYI_RIH,3,96.09666413359452,96.09666413359452,96.09666413359452,2,0.0,DJF,0.0011723290036591957,0.0011723290036591957,0.0011723290036591957,0.0011723290036591957,0.0011723290036591957,0.0,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.3333333333333333,33.33333333333333,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,2,0.0,DJF,0.002259185049934588,0.002259185049934588,0.002259185049934588,0.002259185049934588,0.002259185049934588,0.0,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.3333333333333333,33.33333333333333,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,AOI_KRYVYI_RIH,3,99.80334247710296,99.80334247710296,99.80334247710296,2,0.0,DJF,0.001084933056789164,0.001084933056789164,0.001084933056789164,0.001084933056789164,0.001084933056789164,0.0,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.3333333333333333,33.33333333333333,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,2,0.0,DJF,0.0012077298588572415,0.0012077298588572415,0.0012077298588572415,0.0012077298588572415,0.0012077298588572415,0.0,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,0.3333333333333333,33.33333333333333,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,7.340110956119035,MAM,0.040303686377101564,0.037850229010343184,0.03928120795918924,0.033965792694738754,0.040303686377101564,0.0027782488065043456,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,2.6030003435899873,JJA,0.03320557699827124,0.03232247230432735,0.032571506352412724,0.03119033356229809,0.03320557699827124,8.413540651384194E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,3.3733753100682655,SON,0.03423150611812443,0.03267926354035101,0.03202890678874981,0.031777377714178774,0.03423150611812443,0.0011023942077823415,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,8.202490564474822,ANNUAL,0.040303686377101564,0.03456639930773493,0.033594094162681054,0.03119033356229809,0.03928120795918924,0.002835305641695648,ANNUAL,CO,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,5.0791736163230805,MAM,0.03967052128644946,0.03773021246841488,0.03839871206657222,0.03512140405222296,0.03967052128644946,0.00191638299707837,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,2.409158240665027,JJA,0.03172490114658525,0.03100608338966347,0.0313170900789625,0.02997625894344264,0.03172490114658525,7.469856130895476E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,0.87861229694735,SON,0.03476821849504451,0.03440835250298838,0.034428331516005266,0.03402850749791537,0.03476821849504451,3.0231601626824723E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,7.976999732336354,ANNUAL,0.03967052128644946,0.03491577642687932,0.03494481127363373,0.02997625894344264,0.03839871206657222,0.0027852313921153233,ANNUAL,CO,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
