system:index,AOI_reduction_sample_count,aggregation_method,aggregation_mode,all_source_element_count,analysis_scale_description,analysis_scale_m,aoi_id,availability_status,coverage_method,daily_composite_count,footprint_metadata,is_valid_month,l3_grid_spacing_m,metadata_selected_source_element_count,month,month_of_year,pollutant,processing_branch,quality_description,reduction_crs,source_band,source_collection,source_element_count,source_selection_mode,support_count_max,support_count_mean,support_count_median,support_count_min,support_count_p10,support_count_p90,system_time_start,temporal_support_description,temporal_support_fraction_mean,temporal_support_mode,total_aoi_area_km2,total_aoi_area_m2,valid_area_fraction,valid_area_km2,valid_area_m2,valid_area_percent,year,.geo
1_1_1_1_1_0000000000000000000b,698,daily-first calendar-month mean,DAILY_FIRST,417,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,30,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,417,2019-04,4,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,417,NATIVE_L3_MASK,26.0,21.098361500412196,21.000000000000007,18.0,20.000000000000004,22.999999999999996,1554076800000,valid calendar days contributing to the monthly daily-first composite,0.703278720523658,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000a,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,414,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,414,2019-04,4,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,414,NATIVE_L3_INGESTION_QA,34.0,30.988982313714114,31.0,28.0,29.0,33.0,1554076800000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000c,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,440,2019-05,5,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,440,PRODUCT_QUALITY_NOMINAL,17.0,12.717156400895064,12.000000000000004,8.0,10.999999999999998,15.000000000000004,1556668800000,valid calendar days contributing to the monthly daily-first composite,0.41023084047438957,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000e,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,440,2019-05,5,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,440,NATIVE_L3_MASK,25.0,21.41049346366741,21.0,18.0,19.999999999999993,22.999999999999986,1556668800000,valid calendar days contributing to the monthly daily-first composite,0.6906610737085173,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000d,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,440,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,440,2019-05,5,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,440,NATIVE_L3_INGESTION_QA,33.0,30.41403305305886,30.0,28.0,29.0,33.0,1556668800000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000011,698,daily-first calendar-month mean,DAILY_FIRST,425,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,30,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,425,2019-06,6,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,425,NATIVE_L3_MASK,27.0,24.51972676952067,24.999999999999975,22.0,22.999999999999993,25.99999999999999,1559347200000,valid calendar days contributing to the monthly daily-first composite,0.8173242201724812,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000010,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,425,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,425,2019-06,6,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,425,NATIVE_L3_INGESTION_QA,38.0,37.064076543925765,37.0,32.0,36.0,38.0,1559347200000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000f,698,daily-first calendar-month mean,DAILY_FIRST,425,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,30,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,425,2019-06,6,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,425,PRODUCT_QUALITY_NOMINAL,24.0,22.14285714285715,22.00000000000001,19.0,20.999999999999996,23.000000000000004,1559347200000,valid calendar days contributing to the monthly daily-first composite,0.738095240768152,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000012,698,daily-first calendar-month mean,DAILY_FIRST,437,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,437,2019-07,7,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,437,PRODUCT_QUALITY_NOMINAL,27.0,22.161678541985605,22.0,14.0,18.000000000000004,25.0,1561939200000,valid calendar days contributing to the monthly daily-first composite,0.7148928501478821,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000014,698,daily-first calendar-month mean,DAILY_FIRST,437,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,437,2019-07,7,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,437,NATIVE_L3_MASK,29.0,27.593054410552348,27.999999999999993,25.0,26.0,28.99999999999999,1561939200000,valid calendar days contributing to the monthly daily-first composite,0.8900985184022824,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000013,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,437,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,437,2019-07,7,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,437,NATIVE_L3_INGESTION_QA,44.0,41.48883734415773,42.0,38.0,39.0,44.0,1561939200000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000016,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,440,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,440,2019-08,8,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,440,NATIVE_L3_INGESTION_QA,39.0,35.98753261815018,36.0,34.0,35.0,37.0,1564617600000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000017,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,440,2019-08,8,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,440,NATIVE_L3_MASK,27.0,24.774422918384186,25.000000000000004,21.0,21.999999999999996,25.999999999999996,1564617600000,valid calendar days contributing to the monthly daily-first composite,0.7991749262866081,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000015,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,440,2019-08,8,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,440,PRODUCT_QUALITY_NOMINAL,26.0,23.809607231185954,24.000000000000004,20.0,20.999999999999996,26.0,1564617600000,valid calendar days contributing to the monthly daily-first composite,0.7680518392141332,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001a,698,daily-first calendar-month mean,DAILY_FIRST,425,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,30,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,425,2019-09,9,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,425,NATIVE_L3_MASK,25.0,20.26391914968791,20.000000000000004,16.0,18.000000000000004,24.000000000000004,1567296000000,valid calendar days contributing to the monthly daily-first composite,0.6754639779300128,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000019,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,424,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,424,2019-09,9,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,424,NATIVE_L3_INGESTION_QA,32.0,27.53667729776747,28.0,24.0,26.0,29.0,1567296000000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000018,698,daily-first calendar-month mean,DAILY_FIRST,425,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,30,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,425,2019-09,9,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,425,PRODUCT_QUALITY_NOMINAL,23.0,18.863053527264157,19.000000000000004,16.0,18.00000000000001,21.000000000000004,1567296000000,valid calendar days contributing to the monthly daily-first composite,0.628768460301895,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001d,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,440,2019-10,10,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,440,NATIVE_L3_MASK,27.0,22.019483865269112,21.999999999999986,17.0,20.000000000000004,23.999999999999982,1569888000000,valid calendar days contributing to the monthly daily-first composite,0.7103059242091551,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
